Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0402_1005Metric,160.67,-92.18,90.0,top
C2,10uf,C_0402_1005Metric,182.85,-92.76,-90.0,top
C3,10 nf,C_0402_1005Metric,173.35,-91.04,0.0,top
C4,100 nf,C_0402_1005Metric,175.93,-100.66,0.0,top
C5,100 nf,C_0402_1005Metric,181.03,-94.7,180.0,top
C6,100 nf,C_0402_1005Metric,178.835,-85.99,0.0,top
C7,100 nf,C_0402_1005Metric,175.96,-93.43,-90.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,172.27,-111.28,180.0,top
L1,15µH,L_0201_0603Metric,178.095,-94.56,180.0,top
R1,5.1k,R_0402_1005Metric,168.44,-105.73,180.0,top
R2,5.1k,R_0402_1005Metric,177.22,-105.55,0.0,top
R3,10k,R_0402_1005Metric,163.31,-97.13,0.0,top
R4,10k,R_0402_1005Metric,178.06,-98.03,0.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,163.55,-102.79,90.0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,181.01,-102.98,90.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,171.25,-70.82,0.0,top
U2,SX1262IMLTRT,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,179.23,-90.6025,270.0,top
U3,AMS1117-3.3,SOT-223-3_TabPin2,166.73,-90.49,180.0,top
